iter,focus,selected_resource_layer,destroy_operator,repair_operator,fallback_repair_used,projection_mode,projection_repaired_subtask_count,effective_destroy_mu,effective_destroy_budget,destroy_tier,heavy_destroy_active,force_rotate_used,x_temp_boost_used,local_obj,Sx,Sy,Sz,F_raw,F_cal,residual_hat,residual_decay_alpha,residual_conf_alpha,duplicate_tote_count,duplicate_tote_penalty,coverage_hard_reject,unmet_sku_total,candidate_hard_reject_reason,candidate_pool_target_size,candidate_pool_generated_count,candidate_pool_unique_count,candidate_pool_attempt_count,candidate_pool_exact_count,candidate_pool_best_f_raw,candidate_pool_best_f_cal,selected_candidate_rank,joint_colocated_sort_postprocess_triggered,joint_colocated_sort_postprocess_candidate_groups,joint_colocated_sort_postprocess_submitted,joint_colocated_sort_postprocess_applied,joint_colocated_sort_postprocess_makespan_gain,joint_colocated_sort_postprocess_rejected_capacity,joint_colocated_sort_postprocess_rejected_interval_illegal,joint_colocated_sort_postprocess_rejected_noise,joint_colocated_sort_postprocess_rejected_eval_not_better,joint_colocated_sort_postprocess_rejected_validation,joint_colocated_sort_postprocess_rejected_target_conflict,empty_candidate_penalized,layer_cooldown_remaining,stagnation_increment,used_exact_eval_cache,exact_eval_cache_hit_count,consecutive_exact_cache_hit_count,adaptive_destroy_bonus,consecutive_fail_count_x,x_layer_dynamic_multiplier,x_failure_cooldown_remaining,local_accept,global_eval_triggered,validation_trigger,validated_makespan,catastrophic_rollback,z,best_z,improved,sa_temperature,sa_accept_prob,iter_runtime_sec,global_eval_time_sec,lkh_call_count
20,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.995564216956,-0.004123329542370945,0.19842513149602495,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,9,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,7.547072050706145,0.0,0.02431050000086543,0.0,3
21,X,X,x_destroy_group_boundary_release,x_repair_template_preserve,False,greedy_repair,1,0.1,5,base,False,False,True,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9939250436555,-0.006192122662331992,0.3968502629920499,1.0,0,0.0,False,0,,3,5,1,12,1,3060.9963823891626,3060.9939250436555,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,10,1,0.0,0,1.0,0,True,True,operator_route_precheck,336.0,False,336.0,336.0,False,14.339436896341676,1.0,2.1238885000002483,1.9940251000007265,4
22,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9939250436555,-0.006192122662331992,0.3968502629920499,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,8,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,14,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,6.811232525762295,0.0,0.07846280000012484,0.0,4
23,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9939250436555,-0.006192122662331992,0.3968502629920499,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,7,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,14,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,6.470670899474181,0.0,0.023492099999202765,0.0,4
24,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9939250436555,-0.006192122662331992,0.3968502629920499,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,14,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,6.1471373545004715,0.0,0.019022600001335377,0.0,4
25,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9939250436555,-0.006192122662331992,0.3968502629920499,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,9,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,14,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,5.839780486775448,0.0,0.021318600000086008,0.0,4
26,X,X,x_destroy_spatial_outliers,x_repair_template_preserve,False,greedy_repair,1,0.1,5,base,False,True,True,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,,3,1,1,12,1,3060.9963823891626,3060.9940111069204,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,15,1,0.0,0,1.0,0,True,True,operator_route_precheck,336.0,False,336.0,336.0,False,11.09558292487335,0.9999922434961981,2.011236700000154,1.9927060999998503,5
27,Y,Y,y_destroy_rank_window_release,y_repair_arrival_aware_rank,False,,0,0.1,2,base,False,True,False,3081.462833538588,0.3664423076923077,0.2772881054131054,3.6237274220032845,3081.462833538588,3081.4639479170464,0.002505227996810724,0.7937005259840998,0.5604395604395604,0,0.0,False,0,,3,3,1,3,1,3081.462833538588,3081.4639479170464,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,15,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,5.270401889314841,0.02056957379832412,0.08015180000074906,0.0,5
28,Z,Z,,,False,,0,0.1,2,base,False,True,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9940111069204,-0.007528351850819816,0.3149802624737183,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,9,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,15,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,5.0068817948490985,0.0,0.06988670000100683,0.0,5
29,X,X,x_destroy_low_consolidation,x_repair_affinity_pack,False,greedy_repair,1,0.1,5,base,False,True,True,3091.7088823891627,0.42644230769230773,0.28652685676392575,3.5720032840722498,3091.7088823891627,3091.706137959751,-0.00979384613621112,0.5,0.5604395604395604,0,0.0,False,0,,3,1,1,12,1,3091.7088823891627,3091.706137959751,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,15,0,0.0,1,1.0,0,False,False,,nan,False,336.0,336.0,False,9.513075410213286,0.03962036582660204,0.04193759999907343,0.0,5
